ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
42880-20250316,3007531,16242,1,"THE CHEESECAKE FACTORY RESTAURANTS, INC.",THE CHEESECAKE FACTORY,875 N MICHIGAN AVE,CHICAGO,IL,60611,2,43,2-43,18,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,42880,RENEW,,01/15/2025,02/11/2025,N,03/16/2025,03/15/2027,02/11/2025,02/13/2025,AAI,,,41.898948542,-87.623974988,POINT (-87.62397498768968 41.898948541729865)
22868-20250316,3008206,86723,1,THE MUSEUM OF CONTEMPORARY ART,THE MUSEUM OF CONTEMPORARY ART,220 E CHICAGO AVE 1ST,CHICAGO,IL,60611,2,10,2-10,18,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,22868,RENEW,,01/15/2025,01/23/2025,N,03/16/2025,03/15/2027,01/23/2025,01/24/2025,AAI,,,41.896876962,-87.621934031,POINT (-87.62193403116551 41.89687696199614)
1122866-20250316,3008253,206313,1,PENINSULA CHICAGO LLC,"PENINSULA CHICAGO, LLC",108 E SUPERIOR ST,CHICAGO,IL,60611,2,48,2-48,18,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,1122866,RENEW,,01/15/2025,02/13/2025,N,03/16/2025,03/15/2027,02/13/2025,02/14/2025,AAI,,,41.895839638,-87.624988141,POINT (-87.62498814131581 41.89583963820686)
2506315-20250316,3008252,206313,1,PENINSULA CHICAGO LLC,"PENINSULA CHICAGO, LLC",108 E SUPERIOR ST,CHICAGO,IL,60611,2,48,2-48,18,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2506315,RENEW,,01/15/2025,02/13/2025,N,03/16/2025,03/15/2027,02/13/2025,02/14/2025,AAI,,,41.895839638,-87.624988141,POINT (-87.62498814131581 41.89583963820686)
1804578-20250316,3008781,315430,1,"DUBLIN 4, INC.",D4 IRISH PUB & CAFE,345 E OHIO ST 1,CHICAGO,IL,60611,2,41,2-41,18,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,1804578,RENEW,,01/15/2025,02/13/2025,N,03/16/2025,03/15/2027,02/13/2025,02/14/2025,AAI,,,41.892518301,-87.618502427,POINT (-87.61850242693725 41.89251830082217)
1803485-20250316,3008307,220603,1,"SLA UNO, INC.",PIZZERIA UNO CHICAGO BAR & GRILL,29 E OHIO ST,CHICAGO,IL,60611,42,22,42-22,18,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,1803485,RENEW,,01/15/2025,01/22/2025,N,03/16/2025,03/15/2027,01/22/2025,01/31/2025,AAI,,,41.892383417,-87.626804787,POINT (-87.6268047865619 41.89238341663872)
2550140-20250316,3008207,86723,3,THE MUSEUM OF CONTEMPORARY ART,MCA WAREHOUSE,1747 W HUBBARD ST,CHICAGO,IL,60622,27,27,27-27,12,1050,Public Place of Amusement,971,Industrial Private Event Venue,2550140,RENEW,,01/15/2025,01/23/2025,N,03/16/2025,03/15/2027,01/23/2025,01/24/2025,AAI,,,41.889708209,-87.671416988,POINT (-87.67141698827098 41.88970820884644)
1768305-20250316,3008749,310784,1,"DIAMONDROCK CHICAGO CONRAD TENANT, LLC",THE GWEN,520 N MICHIGAN AVE 5-17,CHICAGO,IL,60611,42,48,42-48,18,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,1768305,RENEW,,01/15/2025,01/15/2025,N,03/16/2025,03/15/2027,01/15/2025,01/16/2025,AAI,,,41.891688517,-87.624307178,POINT (-87.62430717812579 41.89168851736832)
1299705-20250316,3008304,220602,1,"SLA DUE, INC.",PIZZERIA DUE,619 N WABASH AVE 1,CHICAGO,IL,60611,42,22,42-22,18,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,1299705,RENEW,,01/15/2025,01/28/2025,N,03/16/2025,03/15/2027,01/28/2025,02/03/2025,AAI,,,41.893184989,-87.62661003,POINT (-87.62661002969385 41.8931849885056)
2698333-20250316,3007384,4180,2,"STREETER'S TAVERN, INC.",STREETERS TAVERN,48-50 E CHICAGO AVE,CHICAGO,IL,60611,42,19,42-19,18,1470,Tavern,829,Tavern - Consumption of Liquor on Premises,2698333,RENEW,,01/15/2025,01/15/2025,N,03/16/2025,03/15/2027,01/15/2025,01/16/2025,AAI,,,41.89681265,-87.626363375,POINT (-87.62636337526784 41.89681264961122)
16825-20250316,3007422,6942,1,"DAO INTERNATIONAL, INC.",DAO THAI RESTRAUNT,230 E OHIO ST  1ST,CHICAGO,IL,60611,2,41,2-41,18,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,16825,RENEW,,01/15/2025,01/27/2025,N,03/16/2025,03/15/2027,01/27/2025,01/28/2025,AAI,,,41.892689628,-87.621438365,POINT (-87.62143836482372 41.8926896277279)
