BrandName,BrandOriginCountry,BrandOriginRegion,BrandSector,BrandSubSector,Rank2001,Rank2002,Rank2003,Rank2004,Rank2005,Rank2006,Rank2007,Rank2008,Rank2009,Rank2010,Rank2011,Rank2012,Rank2013,Rank2014,Rank2015,Rank2016,Rank2017,Rank2018,Rank2019,Rank2020,Rank2021,Equity2001,Equity2002,Equity2003,Equity2004,Equity2005,Equity2006,Equity2007,Equity2008,Equity2009,Equity2010,Equity2011,Equity2012,Equity2013,Equity2014,Equity2015,Equity2016,Equity2017,Equity2018,Equity2019,Equity2020,Equity2021,GrowthRate2001,GrowthRate2002,GrowthRate2003,GrowthRate2004,GrowthRate2005,GrowthRate2006,GrowthRate2007,GrowthRate2008,GrowthRate2009,GrowthRate2010,GrowthRate2011,GrowthRate2012,GrowthRate2013,GrowthRate2014,GrowthRate2015,GrowthRate2016,GrowthRate2017,GrowthRate2018,GrowthRate2019,GrowthRate2020,GrowthRate2021
Louis Vuitton,France,Europe,Fashion,Luxury,38,41,45,44,18,17,17,16,16,16,18,17,17,19,20,19,19,18,17,17,13,7053,7054,6708,6602,16077,17606,20321,21602,21120,21860,23172,23577,24893,22552,22250,23998,22919,28152,32223,31720,36766,,0.014178363816808,-4.90501842926,-1.58020274299344,143.517116025447,9.5104808110966,15.4208792457117,6.30382363072683,-2.23127488195537,3.50378787878789,6.0018298261665,1.74779906784051,5.58171098952369,-9.4042501908167,-1.33912735012416,7.8561797752809,-4.49620801733478,22.8325843186876,14.4607843137255,-1.56099680352543,15.9079445145019
Chanel,France,Europe,Fashion,Luxury,61,64,61,64,65,61,58,60,59,,,,,,,,,23,22,21,22,4265,4272,4315,4416,4778,5156,5830,6355,6040,,,,,,,,,20005,22134,21203,22109,,0.164126611957793,1.00655430711611,2.34067207415991,8.19746376811594,7.91125994139807,13.0721489526765,9.00514579759863,-4.9567269866247,,,,,,,,,,10.6423394151462,-4.20619860847565,4.27298023864549
Hermès,France,Europe,Fashion,Luxury,,,73,79,82,81,73,76,70,69,66,63,54,46,41,34,32,32,28,28,23,,,3416,3376,3540,3854,4255,4575,4598,4782,5365,6182,7616,8977,10944,12833,14210,16372,17920,17961,21600,,,,-1.17096018735363,4.85781990521328,8.87005649717514,10.4047742605086,7.52056404230317,0.502732240437154,4.00173988690735,12.1915516520284,15.2283317800559,23.1963765771595,17.8702731092437,21.9115517433441,17.2605994152047,10.7301488350347,15.2146375791696,9.45516735890546,0.228794642857144,20.2605645565392
L’Oréal,France,Europe,Fashion,Cosmetics,,54,47,49,52,53,51,51,44,45,40,42,40,43,43,45,45,48,51,43,53,,5079,5600,5902,6005,6392,7045,7508,7748,7981,8699,8821,9874,10162,10798,10930,10674,11102,11589,12553,12501,,,10.2579247883442,5.39285714285713,1.74517112843104,6.44462947543714,10.2158948685857,6.57203690560682,3.19659030367607,3.0072276716572,8.99636637012906,1.40246005287965,11.9374220609908,2.91675106339883,6.25861050974217,1.22244860159288,-2.34217749313815,4.00974330148023,4.38659700954782,8.31823280697213,-0.414243607105869
Dior,France,Europe,Fashion,Luxury,,,,,,,,,,,,,,,,89,95,91,82,83,77,,,,,,,,,,,,,,,,4909,4587,5223,6045,5988,7024,,,,,,,,,,,,,,,,,-6.55938072927277,13.8652714192283,15.7380815623205,-0.942928039702229,17.3012692050768
Sephora,France,Europe,Fashion,Cosmetics,100,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,4628,,,,,,,,,,,,,,,,,,,,,
Lancome,France,Europe,Fashion,Cosmetics,,,,,,,,,91,96,,,,,,,,,,,,,,,,,,,,3235,3403,,,,,,,,,,,,,,,,,,,,,5.19319938176197,,,,,,,,,,,
Adidas,Germany,Europe,Fashion,Sportswear,70,68,67,69,71,71,69,70,62,62,60,60,55,59,62,60,55,50,45,50,49,3650,3690,3679,3740,4033,4290,4767,5072,5397,5495,6154,6699,7535,7378,6811,7885,9216,10772,11992,12070,13381,,1.0958904109589,-0.298102981029813,1.65805925523239,7.83422459893048,6.3724274733449,11.1188811188811,6.39815397524648,6.4077287066246,1.81582360570687,11.992720655141,8.85602859928503,12.4794745484401,-2.0836098208361,-7.68500948766604,15.7686096021142,16.8801521876982,16.8836805555556,11.3256591162273,0.650433622414948,10.8616404308202
Boss,Germany,Europe,Fashion,Apparel,,,,,,,,,,,,,,97,96,,,,,,,,,,,,,,,,,,,,4143,4270,,,,,,,,,,,,,,,,,,,,,3.06541153753319,-100,,,,,
Nivea,Germany,Europe,Fashion,Cosmetics,87,91,92,97,98,99,96,98,86,87,87,,,,,,,,,,,1782,2059,2221,2409,2576,2692,3116,3401,3557,3734,3883,,,,,,,,,,,,15.5443322109989,7.86789703739679,8.46465556055831,6.93233706932337,4.50310559006211,15.7503714710253,9.14634146341464,4.58688620993826,4.97610345797019,3.99035886448849,,,,,,,,,,
Puma,Germany,Europe,Fashion,Sportswear,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,3154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gucci,Italy,Europe,Fashion,Luxury,50,52,53,59,49,46,46,45,41,44,39,38,38,41,50,53,51,39,33,32,33,5363,5304,5100,4715,6619,7158,7697,8254,8182,8346,8763,9446,10151,10385,8882,9385,9969,12942,15949,15675,16656,,-1.10013052396047,-3.84615384615384,-7.54901960784313,40.3817603393425,8.14322405197159,7.53003632299525,7.23658568273353,-0.872304337291008,2.00439990222439,4.99640546369517,7.79413442884858,7.46347660385349,2.30519160673825,-14.4727973038036,5.66313893267283,6.22269579115611,29.8224495937406,23.2344305362386,-1.71797604865509,6.25837320574163
Prada,Italy,Europe,Fashion,Luxury,,86,87,95,93,96,94,91,87,,,84,72,70,69,81,94,95,100,99,94,,2489,2535,2568,2760,2874,3286,3585,3530,,,4271,5570,5977,6222,5504,4716,4812,4781,4495,5416,,,1.84813177983125,1.301775147929,7.47663551401869,4.13043478260871,14.3354210160056,9.09920876445527,-1.53417015341701,,,,30.4144228517911,7.30700179533214,4.0990463443199,-11.5396978463517,-14.3168604651163,2.03562340966921,-0.644222776392356,-5.98201213135328,20.4894327030033
Benetton,Italy,Europe,Fashion,Apparel,100,,,,,,,,,,,,,,,,,,,,,1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgari,Italy,Europe,Fashion,Luxury,,,,,94,95,,,,,,,,,,,,,,,,,,,,2715,2875,,,,,,,,,,,,,,,,,,,,,5.89318600368325,,,,,,,,,,,,,,,
Armani,Italy,Europe,Fashion,Luxury,91,100,,93,95,97,,94,89,95,93,,,,,,,,,,,1490,1509,,2613,2677,2783,,3526,3303,3443,3794,,,,,,,,,,,,1.27516778523491,,,2.44929200153081,3.9596563317146,,,-6.32444696539989,4.23857099606419,10.1945977345338,,,,,,,,,,
Zara,Spain,Europe,Fashion,Apparel,,,,,77,73,64,62,50,48,44,37,36,36,30,27,24,25,29,35,45,,,,,3730,4235,5165,5955,6789,7468,8065,9488,10821,12126,14031,16766,18573,17712,17175,14862,13503,,,,,,13.5388739946381,21.9598583234947,15.2952565343659,14.0050377833753,10.0014729709825,7.99410819496518,17.6441413515189,14.0493254637437,12.0598835597449,15.7100445324097,19.49255220583,10.7777645234403,-4.63576158940398,-3.03184281842819,-13.4672489082969,-9.14412595882116
